Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
33,116906,355.46506334,-5.98548732,7.68,23.84,0.002,G5          ,4.640000000000001,"[[354.69220738  -5.51900018]
 [355.69175981  -5.48908465]
 [355.70671758  -5.98886086]
 [354.70716515  -6.0187764 ]]"
33,Celestial_data for frame:,      ,Sun,"(np.float64(21.875096282827748), np.float64(-12.738931305364028))",moon,"(np.float64(11.446981576909184), np.float64(3.1429320330156094))"
33,Diffused UV data in frame (Total_photons):,      ,1100A,12990.230449000002,1500A,9265.521488000002,2300A,6369.051165000001
34,116906,355.46506334,-5.98548732,7.68,23.84,0.002,G5          ,4.640000000000001,"[[355.3121459   -5.50069662]
 [356.31166533  -5.46969813]
 [356.32716457  -5.96945785]
 [355.32764514  -6.00045634]]"
34,Celestial_data for frame:,      ,Sun,"(np.float64(21.875103801306786), np.float64(-12.738891727047694))",moon,"(np.float64(11.44706435012154), np.float64(3.1422591511914457))"
34,Diffused UV data in frame (Total_photons):,      ,1100A,10193.668869000001,1500A,6799.620560999998,2300A,5465.511420000001
35,117267,356.67481778,-5.45985927,8.98,3.69,0.041,G5          ,2.039999999999999,"[[355.93204596  -5.48172219]
 [356.93153133  -5.44964446]
 [356.9475702   -5.94938715]
 [355.94808482  -5.98146488]]"
35,117349,356.91009685,-5.82544599,7.64,9.09,0.015,F8          ,4.720000000000001,"[[355.93204596  -5.48172219]
 [356.93153133  -5.44964446]
 [356.9475702   -5.94938715]
 [355.94808482  -5.98146488]]"
35,Celestial_data for frame:,      ,Sun,"(np.float64(21.87511131978315), np.float64(-12.73885214868506))",moon,"(np.float64(11.447147123078368), np.float64(3.141586269070592))"
35,Diffused UV data in frame (Total_photons):,      ,1100A,11644.780954999997,1500A,8483.433338999997,2300A,6217.039611999999
36,117267,356.67481778,-5.45985927,8.98,3.69,0.041,G5          ,2.039999999999999,"[[356.55190874  -5.46207908]
 [357.55135903  -5.42892594]
 [357.5679356   -5.92865108]
 [356.56848531  -5.96180422]]"
