Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
101,99972,304.23545681,16.76608059,7.29,0.73,1.172,K0          ,3.42,"[303.99100759267793, 16.540776228512126, 304.3910075926779, 18.540776228512126]"
101,99978,304.24068184,18.35376446,8.04,6.76,0.108,A0          ,1.9200000000000017,"[303.99100759267793, 16.540776228512126, 304.3910075926779, 18.540776228512126]"
102,100776,306.49757786,14.94305818,7.39,2.2,1.449,K5          ,3.2200000000000006,"[306.1764581938342, 14.061277871171443, 306.5764581938342, 16.06127787117144]"
103,101483,308.48748693,13.02720146,5.39,18.85,0.093,A3IVs       ,7.220000000000001,"[308.31130182198626, 11.561293573542947, 308.71130182198624, 13.561293573542947]"
103,101482,308.48786681,12.10165132,7.96,1.71,1.279,K5          ,2.08,"[308.31130182198626, 11.561293573542947, 308.71130182198624, 13.561293573542947]"
103,101554,308.70477212,13.46467748,7.5,2.62,-0.069,A2          ,3.0,"[308.31130182198626, 11.561293573542947, 308.71130182198624, 13.561293573542947]"
104,102194,310.59127361,10.47323361,8.21,2.02,1.389,K2          ,1.5799999999999983,"[310.40483481466606, 9.044695935142046, 310.80483481466604, 11.044695935142046]"
105,102838,312.51243012,7.84998651,8.54,16.74,0.679,G5          ,0.9200000000000017,"[312.4659217969685, 6.51510482185865, 312.86592179696845, 8.51510482185865]"
106,103569,314.76892895,4.29384672,5.3,16.59,0.464,F5III...    ,7.4,"[314.5030802677718, 3.975948139112332, 314.90308026777177, 5.975948139112332]"
106,103571,314.77157032,4.29497561,5.24,16.59,0.457,G0V         ,7.52,"[314.5030802677718, 3.975948139112332, 314.90308026777177, 5.975948139112332]"
107,,,,,,,,,"([316.52457543516647, 1.4305063720752211, 316.92457543516645, 3.430506372075221],)"
