Wavelength,Spectrum,3-Averaged,5-Averaged
1512,2.24E+22,2.29E+22,2.31E+22
1517,2.28E+22,2.26E+22,2.21E+22
1525,2.25E+22,2.16E+22,2.10E+22
1535,1.95E+22,1.98E+22,2.00E+22
1545,1.76E+22,1.82E+22,1.93E+22
1555,1.74E+22,1.82E+22,1.89E+22
1565,1.94E+22,1.92E+22,1.92E+22
1575,2.07E+22,2.03E+22,1.98E+22
1585,2.09E+22,2.08E+22,2.03E+22
1595,2.08E+22,2.05E+22,2.03E+22
1605,2.00E+22,2.00E+22,2.01E+22
1615,1.93E+22,1.97E+22,2.00E+22
1625,1.97E+22,1.97E+22,1.99E+22
1635,2.03E+22,2.01E+22,2.00E+22
1645,2.03E+22,2.03E+22,2.02E+22
1655,2.04E+22,2.03E+22,2.00E+22
1665,2.03E+22,1.99E+22,2.04E+22
1672,1.90E+22,2.04E+22,2.05E+22
1677,2.19E+22,2.06E+22,2.04E+22
1685,2.08E+22,2.09E+22,2.03E+22
1695,2.01E+22,2.03E+22,2.03E+22
1705,1.99E+22,1.97E+22,1.97E+22
1715,1.90E+22,1.91E+22,1.93E+22
1725,1.85E+22,1.89E+22,1.91E+22
1735,1.92E+22,1.89E+22,1.89E+22
1745,1.90E+22,1.91E+22,1.89E+22
1755,1.90E+22,1.89E+22,1.88E+22
1765,1.88E+22,1.86E+22,1.87E+22
1775,1.81E+22,1.85E+22,1.85E+22
1785,1.85E+22,1.83E+22,1.84E+22
1795,1.83E+22,1.84E+22,1.82E+22
1805,1.85E+22,1.81E+22,1.81E+22
1815,1.76E+22,1.79E+22,1.80E+22
1825,1.77E+22,1.76E+22,1.76E+22
1835,1.76E+22,1.72E+22,1.72E+22
1845,1.64E+22,1.69E+22,1.71E+22
1855,1.68E+22,1.67E+22,1.70E+22
1865,1.70E+22,1.69E+22,1.66E+22
1875,1.70E+22,1.66E+22,1.64E+22
1885,1.58E+22,1.60E+22,1.62E+22
1895,1.52E+22,1.56E+22,1.59E+22
